Date : 2026-03-24 21:27:27
Directory : /home/dev/projects/dbnexus
Total : 229 files,  38597 codes, 10124 comments, 8943 blanks, all 57664 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Rust         |        212 |     33,179 |      9,931 |      7,289 |     50,399 |
| Markdown     |          7 |      3,646 |         12 |      1,298 |      4,956 |
| Shell Script |          5 |        980 |        158 |        239 |      1,377 |
| YAML         |          5 |        792 |         23 |        117 |        932 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/dev/projects/dbnexus/.pre-commit-config.yaml                                       | YAML         |         21 |          2 |          2 |         25 |
| /home/dev/projects/dbnexus/README.md                                                     | Markdown     |        504 |          6 |        195 |        705 |
| /home/dev/projects/dbnexus/README_zh.md                                                  | Markdown     |        484 |          6 |        183 |        673 |
| /home/dev/projects/dbnexus/benches/permission_bench.rs                                   | Rust         |         69 |          7 |         14 |         90 |
| /home/dev/projects/dbnexus/build.rs                                                      | Rust         |         94 |         22 |         16 |        132 |
| /home/dev/projects/dbnexus/docs/API_REFERENCE.md                                         | Markdown     |        692 |          0 |        275 |        967 |
| /home/dev/projects/dbnexus/docs/ARCHITECTURE.md                                          | Markdown     |        712 |          0 |        218 |        930 |
| /home/dev/projects/dbnexus/docs/CHANGELOG.md                                             | Markdown     |        156 |          0 |         64 |        220 |
| /home/dev/projects/dbnexus/docs/USER_GUIDE.md                                            | Markdown     |        862 |          0 |        288 |      1,150 |
| /home/dev/projects/dbnexus/examples/README.md                                            | Markdown     |        236 |          0 |         75 |        311 |
| /home/dev/projects/dbnexus/examples/src/audit.rs                                         | Rust         |        210 |         40 |         35 |        285 |
| /home/dev/projects/dbnexus/examples/src/authenticated_usage.rs                           | Rust         |        130 |         58 |         39 |        227 |
| /home/dev/projects/dbnexus/examples/src/cache.rs                                         | Rust         |        114 |         35 |         29 |        178 |
| /home/dev/projects/dbnexus/examples/src/config.rs                                        | Rust         |         40 |         19 |         11 |         70 |
| /home/dev/projects/dbnexus/examples/src/entity_basic.rs                                  | Rust         |        101 |         40 |         21 |        162 |
| /home/dev/projects/dbnexus/examples/src/global_index.rs                                  | Rust         |         58 |         20 |         13 |         91 |
| /home/dev/projects/dbnexus/examples/src/health.rs                                        | Rust         |        117 |         30 |         19 |        166 |
| /home/dev/projects/dbnexus/examples/src/macro_usage.rs                                   | Rust         |         85 |         48 |         24 |        157 |
| /home/dev/projects/dbnexus/examples/src/main.rs                                          | Rust         |        134 |         30 |         19 |        183 |
| /home/dev/projects/dbnexus/examples/src/metrics.rs                                       | Rust         |        284 |         51 |         55 |        390 |
| /home/dev/projects/dbnexus/examples/src/migration.rs                                     | Rust         |         78 |         23 |         14 |        115 |
| /home/dev/projects/dbnexus/examples/src/permission_engine.rs                             | Rust         |        184 |         30 |         25 |        239 |
| /home/dev/projects/dbnexus/examples/src/permissions.rs                                   | Rust         |        102 |         28 |         27 |        157 |
| /home/dev/projects/dbnexus/examples/src/permissions.yaml                                 | YAML         |         62 |          0 |          1 |         63 |
| /home/dev/projects/dbnexus/examples/src/quickstart.rs                                    | Rust         |        101 |         62 |         24 |        187 |
| /home/dev/projects/dbnexus/examples/src/security.rs                                      | Rust         |        282 |         37 |         50 |        369 |
| /home/dev/projects/dbnexus/examples/src/sharding.rs                                      | Rust         |        234 |         48 |         56 |        338 |
| /home/dev/projects/dbnexus/examples/src/sql_parser.rs                                    | Rust         |        253 |         32 |         43 |        328 |
| /home/dev/projects/dbnexus/examples/src/tracing.rs                                       | Rust         |        179 |         38 |         52 |        269 |
| /home/dev/projects/dbnexus/examples/src/transactions.rs                                  | Rust         |        131 |         41 |         44 |        216 |
| /home/dev/projects/dbnexus/macros/src/lib.rs                                             | Rust         |        607 |        311 |        126 |      1,044 |
| /home/dev/projects/dbnexus/macros/tests/db_audit_tests.rs                                | Rust         |         13 |         18 |          4 |         35 |
| /home/dev/projects/dbnexus/macros/tests/db_cache_tests.rs                                | Rust         |         14 |         19 |          4 |         37 |
| /home/dev/projects/dbnexus/macros/tests/db_crud_tests.rs                                 | Rust         |         16 |         20 |          5 |         41 |
| /home/dev/projects/dbnexus/macros/tests/db_entity_tests.rs                               | Rust         |         15 |         19 |          5 |         39 |
| /home/dev/projects/dbnexus/macros/tests/db_permission_tests.rs                           | Rust         |         21 |         25 |          5 |         51 |
| /home/dev/projects/dbnexus/macros/tests/mod.rs                                           | Rust         |         10 |          1 |          6 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_basic.rs                             | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_constants.rs                         | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_default_values.rs                    | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_full_combination.rs                  | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_log_values_false.rs                  | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_log_values_true.rs                   | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_with_db_crud.rs                      | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_audit_with_db_entity.rs                    | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_all_params.rs                        | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_basic.rs                             | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_constants.rs                         | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_custom_capacity.rs                   | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_custom_strategy.rs                   | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_custom_ttl.rs                        | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_default_values.rs                    | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_method_signatures.rs                 | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_cache_with_db_entity.rs                    | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_all_methods.rs                        | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_basic.rs                              | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_generic.rs                            | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_method_signatures.rs                  | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_missing_table_name.rs                 | Rust         |          7 |          1 |          3 |         11 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_table_name_arg.rs                     | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_crud_with_sea_orm.rs                       | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_basic.rs                            | Rust         |         13 |          3 |          5 |         21 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_generic.rs                          | Rust         |         13 |          2 |          4 |         19 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_method_signatures.rs                | Rust         |         20 |          4 |          6 |         30 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_missing_primary_key.rs              | Rust         |          8 |          1 |          3 |         12 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_missing_table_name.rs               | Rust         |          8 |          1 |          3 |         12 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_entity_sea_orm.rs                          | Rust         |         14 |          2 |          4 |         20 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_attribute_too_long.rs           | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_basic.rs                        | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_dangerous_config_path.rs        | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_empty_role.rs                   | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_invalid_role_name.rs            | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_method_signatures.rs            | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_multiple_roles_ops.rs           | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_path_traversal.rs               | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_role_starts_with_digit.rs       | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_role_with_hyphen.rs             | Rust         |         11 |          1 |          3 |         15 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_valid_role_names.rs             | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/macros/tests/ui/db_permission_with_db_entity.rs               | Rust         |         13 |          1 |          3 |         17 |
| /home/dev/projects/dbnexus/scripts/generate-sql.sh                                       | Shell Script |         35 |         11 |         14 |         60 |
| /home/dev/projects/dbnexus/scripts/install-pre-commit.sh                                 | Shell Script |        304 |         56 |         77 |        437 |
| /home/dev/projects/dbnexus/scripts/no-commit-to-main.sh                                  | Shell Script |          9 |          2 |          4 |         15 |
| /home/dev/projects/dbnexus/scripts/pre-commit-check.sh                                   | Shell Script |        591 |         80 |        134 |        805 |
| /home/dev/projects/dbnexus/scripts/test-databases.sh                                     | Shell Script |         41 |          9 |         10 |         60 |
| /home/dev/projects/dbnexus/src/access/authentication/jwt.rs                              | Rust         |        134 |         17 |         35 |        186 |
| /home/dev/projects/dbnexus/src/access/authentication/mod.rs                              | Rust         |        158 |         35 |         41 |        234 |
| /home/dev/projects/dbnexus/src/access/authentication/models.rs                           | Rust         |         70 |         34 |         30 |        134 |
| /home/dev/projects/dbnexus/src/access/authentication/password.rs                         | Rust         |         86 |         16 |         25 |        127 |
| /home/dev/projects/dbnexus/src/access/mod.rs                                             | Rust         |         28 |         13 |          9 |         50 |
| /home/dev/projects/dbnexus/src/access/permission/advanced.rs                             | Rust         |        534 |        158 |         99 |        791 |
| /home/dev/projects/dbnexus/src/access/permission/context.rs                              | Rust         |        894 |        345 |        142 |      1,381 |
| /home/dev/projects/dbnexus/src/access/permission/mod.rs                                  | Rust         |         77 |         36 |         28 |        141 |
| /home/dev/projects/dbnexus/src/access/permission/provider.rs                             | Rust         |        141 |         85 |         28 |        254 |
| /home/dev/projects/dbnexus/src/access/permission/rate_limiter.rs                         | Rust         |        437 |        218 |        111 |        766 |
| /home/dev/projects/dbnexus/src/access/permission/rbac.rs                                 | Rust         |         67 |         42 |         14 |        123 |
| /home/dev/projects/dbnexus/src/access/permission/stats.rs                                | Rust         |         89 |         36 |         17 |        142 |
| /home/dev/projects/dbnexus/src/access/permission/types.rs                                | Rust         |        284 |         74 |         47 |        405 |
| /home/dev/projects/dbnexus/src/access/permission_engine.rs                               | Rust         |        989 |        313 |        184 |      1,486 |
| /home/dev/projects/dbnexus/src/access/security/ddl_guard.rs                              | Rust         |        241 |         43 |         38 |        322 |
| /home/dev/projects/dbnexus/src/access/security/mod.rs                                    | Rust         |          4 |          7 |          4 |         15 |
| /home/dev/projects/dbnexus/src/access/security/sensitive.rs                              | Rust         |        257 |         80 |         74 |        411 |
| /home/dev/projects/dbnexus/src/access/sql_parser.rs                                      | Rust         |        847 |        320 |        132 |      1,299 |
| /home/dev/projects/dbnexus/src/business/audit.rs                                         | Rust         |      1,309 |        311 |        220 |      1,840 |
| /home/dev/projects/dbnexus/src/business/mod.rs                                           | Rust         |          3 |          9 |          4 |         16 |
| /home/dev/projects/dbnexus/src/database/migration/column_changes.rs                      | Rust         |         98 |         54 |         15 |        167 |
| /home/dev/projects/dbnexus/src/database/migration/differ.rs                              | Rust         |        953 |        167 |        150 |      1,270 |
| /home/dev/projects/dbnexus/src/database/migration/executor.rs                            | Rust         |        601 |        124 |        123 |        848 |
| /home/dev/projects/dbnexus/src/database/migration/metadata.rs                            | Rust         |         83 |         95 |         15 |        193 |
| /home/dev/projects/dbnexus/src/database/migration/mod.rs                                 | Rust         |         14 |         16 |          4 |         34 |
| /home/dev/projects/dbnexus/src/database/migration/schema.rs                              | Rust         |        269 |         94 |         33 |        396 |
| /home/dev/projects/dbnexus/src/database/migration/sql_reverser.rs                        | Rust         |         85 |         40 |         16 |        141 |
| /home/dev/projects/dbnexus/src/database/migration/types.rs                               | Rust         |         48 |         48 |          5 |        101 |
| /home/dev/projects/dbnexus/src/database/mod.rs                                           | Rust         |          8 |          9 |          5 |         22 |
| /home/dev/projects/dbnexus/src/database/pool/db_pool.rs                                  | Rust         |        812 |        534 |        139 |      1,485 |
| /home/dev/projects/dbnexus/src/database/pool/mod.rs                                      | Rust         |        177 |        273 |         46 |        496 |
| /home/dev/projects/dbnexus/src/database/pool/session.rs                                  | Rust         |        527 |        124 |         99 |        750 |
| /home/dev/projects/dbnexus/src/database/sharding.rs                                      | Rust         |        483 |        100 |        110 |        693 |
| /home/dev/projects/dbnexus/src/foundation/config/mod.rs                                  | Rust         |          2 |         28 |          4 |         34 |
| /home/dev/projects/dbnexus/src/foundation/config/types.rs                                | Rust         |        297 |        117 |         66 |        480 |
| /home/dev/projects/dbnexus/src/foundation/entity.rs                                      | Rust         |          2 |         17 |          3 |         22 |
| /home/dev/projects/dbnexus/src/foundation/error/mod.rs                                   | Rust         |        338 |        177 |         93 |        608 |
| /home/dev/projects/dbnexus/src/foundation/mod.rs                                         | Rust         |          8 |          8 |          4 |         20 |
| /home/dev/projects/dbnexus/src/generated_roles.rs                                        | Rust         |         10 |         11 |          5 |         26 |
| /home/dev/projects/dbnexus/src/lib.rs                                                    | Rust         |         81 |        101 |         36 |        218 |
| /home/dev/projects/dbnexus/src/observability/health.rs                                   | Rust         |        492 |        139 |         85 |        716 |
| /home/dev/projects/dbnexus/src/observability/metrics.rs                                  | Rust         |      1,071 |        279 |        187 |      1,537 |
| /home/dev/projects/dbnexus/src/observability/mod.rs                                      | Rust         |          9 |          9 |          4 |         22 |
| /home/dev/projects/dbnexus/src/observability/tracing.rs                                  | Rust         |        231 |        174 |         51 |        456 |
| /home/dev/projects/dbnexus/src/storage/cache/mock_backend.rs                             | Rust         |         74 |         18 |         24 |        116 |
| /home/dev/projects/dbnexus/src/storage/cache/mod.rs                                      | Rust         |         36 |         18 |          9 |         63 |
| /home/dev/projects/dbnexus/src/storage/cache/oxcache_backend.rs                          | Rust         |         71 |         18 |         17 |        106 |
| /home/dev/projects/dbnexus/src/storage/cache/traits.rs                                   | Rust         |         31 |         50 |         11 |         92 |
| /home/dev/projects/dbnexus/src/storage/global_index.rs                                   | Rust         |        205 |         28 |         30 |        263 |
| /home/dev/projects/dbnexus/src/storage/mod.rs                                            | Rust         |          6 |          9 |          5 |         20 |
| /home/dev/projects/dbnexus/src/tools/cli/src/main.rs                                     | Rust         |        590 |         99 |        149 |        838 |
| /home/dev/projects/dbnexus/src/tools/macros.rs                                           | Rust         |         10 |          8 |          7 |         25 |
| /home/dev/projects/dbnexus/src/tools/mod.rs                                              | Rust         |          1 |          9 |          4 |         14 |
| /home/dev/projects/dbnexus/tests/audit/integration/audit_integration.rs                  | Rust         |        268 |         20 |         59 |        347 |
| /home/dev/projects/dbnexus/tests/audit/integration/mod.rs                                | Rust         |          0 |          5 |          2 |          7 |
| /home/dev/projects/dbnexus/tests/audit/mod.rs                                            | Rust         |          2 |          7 |          3 |         12 |
| /home/dev/projects/dbnexus/tests/audit/unit/audit_unit_tests.rs                          | Rust         |        457 |        156 |        112 |        725 |
| /home/dev/projects/dbnexus/tests/audit/unit/mod.rs                                       | Rust         |          0 |          5 |          2 |          7 |
