"filename", "language", "Rust", "YAML", "Shell Script", "Markdown", "comment", "blank", "total"
"/home/dev/projects/dbnexus/src/access/permission/mod.rs", "Rust", 77, 0, 0, 0, 36, 28, 141
"/home/dev/projects/dbnexus/src/access/permission/provider.rs", "Rust", 141, 0, 0, 0, 85, 28, 254
"/home/dev/projects/dbnexus/src/access/permission/rate_limiter.rs", "Rust", 437, 0, 0, 0, 218, 111, 766
"/home/dev/projects/dbnexus/src/access/permission/rbac.rs", "Rust", 67, 0, 0, 0, 42, 14, 123
"/home/dev/projects/dbnexus/src/access/permission/stats.rs", "Rust", 89, 0, 0, 0, 36, 17, 142
"/home/dev/projects/dbnexus/src/access/permission/types.rs", "Rust", 284, 0, 0, 0, 74, 47, 405
"/home/dev/projects/dbnexus/src/access/permission_engine.rs", "Rust", 989, 0, 0, 0, 313, 184, 1486
"/home/dev/projects/dbnexus/src/access/security/ddl_guard.rs", "Rust", 241, 0, 0, 0, 43, 38, 322
"/home/dev/projects/dbnexus/src/access/security/mod.rs", "Rust", 4, 0, 0, 0, 7, 4, 15
"/home/dev/projects/dbnexus/src/access/security/sensitive.rs", "Rust", 257, 0, 0, 0, 80, 74, 411
"/home/dev/projects/dbnexus/src/access/sql_parser.rs", "Rust", 847, 0, 0, 0, 320, 132, 1299
"/home/dev/projects/dbnexus/src/business/audit.rs", "Rust", 1309, 0, 0, 0, 311, 220, 1840
"/home/dev/projects/dbnexus/src/business/mod.rs", "Rust", 3, 0, 0, 0, 9, 4, 16
"/home/dev/projects/dbnexus/src/database/migration/column_changes.rs", "Rust", 98, 0, 0, 0, 54, 15, 167
"/home/dev/projects/dbnexus/src/database/migration/differ.rs", "Rust", 953, 0, 0, 0, 167, 150, 1270
"/home/dev/projects/dbnexus/src/database/migration/executor.rs", "Rust", 601, 0, 0, 0, 124, 123, 848
"/home/dev/projects/dbnexus/src/database/migration/metadata.rs", "Rust", 83, 0, 0, 0, 95, 15, 193
"/home/dev/projects/dbnexus/src/database/migration/mod.rs", "Rust", 14, 0, 0, 0, 16, 4, 34
"/home/dev/projects/dbnexus/src/database/migration/schema.rs", "Rust", 269, 0, 0, 0, 94, 33, 396
"/home/dev/projects/dbnexus/src/database/migration/sql_reverser.rs", "Rust", 85, 0, 0, 0, 40, 16, 141
"/home/dev/projects/dbnexus/src/database/migration/types.rs", "Rust", 48, 0, 0, 0, 48, 5, 101
"/home/dev/projects/dbnexus/src/database/mod.rs", "Rust", 8, 0, 0, 0, 9, 5, 22
"/home/dev/projects/dbnexus/src/database/pool/db_pool.rs", "Rust", 812, 0, 0, 0, 534, 139, 1485
"/home/dev/projects/dbnexus/src/database/pool/mod.rs", "Rust", 177, 0, 0, 0, 273, 46, 496
"/home/dev/projects/dbnexus/src/database/pool/session.rs", "Rust", 527, 0, 0, 0, 124, 99, 750
"/home/dev/projects/dbnexus/src/database/sharding.rs", "Rust", 483, 0, 0, 0, 100, 110, 693
"/home/dev/projects/dbnexus/src/foundation/config/mod.rs", "Rust", 2, 0, 0, 0, 28, 4, 34
"/home/dev/projects/dbnexus/src/foundation/config/types.rs", "Rust", 297, 0, 0, 0, 117, 66, 480
"/home/dev/projects/dbnexus/src/foundation/entity.rs", "Rust", 2, 0, 0, 0, 17, 3, 22
"/home/dev/projects/dbnexus/src/foundation/error/mod.rs", "Rust", 338, 0, 0, 0, 177, 93, 608
"/home/dev/projects/dbnexus/src/foundation/mod.rs", "Rust", 8, 0, 0, 0, 8, 4, 20
"/home/dev/projects/dbnexus/src/generated_roles.rs", "Rust", 10, 0, 0, 0, 11, 5, 26
"/home/dev/projects/dbnexus/src/lib.rs", "Rust", 81, 0, 0, 0, 101, 36, 218
"/home/dev/projects/dbnexus/src/observability/health.rs", "Rust", 492, 0, 0, 0, 139, 85, 716
"/home/dev/projects/dbnexus/src/observability/metrics.rs", "Rust", 1071, 0, 0, 0, 279, 187, 1537
"/home/dev/projects/dbnexus/src/observability/mod.rs", "Rust", 9, 0, 0, 0, 9, 4, 22
"/home/dev/projects/dbnexus/src/observability/tracing.rs", "Rust", 231, 0, 0, 0, 174, 51, 456
"/home/dev/projects/dbnexus/src/storage/cache/mock_backend.rs", "Rust", 74, 0, 0, 0, 18, 24, 116
"/home/dev/projects/dbnexus/src/storage/cache/mod.rs", "Rust", 36, 0, 0, 0, 18, 9, 63
"/home/dev/projects/dbnexus/src/storage/cache/oxcache_backend.rs", "Rust", 71, 0, 0, 0, 18, 17, 106
"/home/dev/projects/dbnexus/src/storage/cache/traits.rs", "Rust", 31, 0, 0, 0, 50, 11, 92
"/home/dev/projects/dbnexus/src/storage/global_index.rs", "Rust", 205, 0, 0, 0, 28, 30, 263
"/home/dev/projects/dbnexus/src/storage/mod.rs", "Rust", 6, 0, 0, 0, 9, 5, 20
"/home/dev/projects/dbnexus/src/tools/cli/src/main.rs", "Rust", 590, 0, 0, 0, 99, 149, 838
"/home/dev/projects/dbnexus/src/tools/macros.rs", "Rust", 10, 0, 0, 0, 8, 7, 25
"/home/dev/projects/dbnexus/src/tools/mod.rs", "Rust", 1, 0, 0, 0, 9, 4, 14
"/home/dev/projects/dbnexus/tests/audit/integration/audit_integration.rs", "Rust", 268, 0, 0, 0, 20, 59, 347
"/home/dev/projects/dbnexus/tests/audit/integration/mod.rs", "Rust", 0, 0, 0, 0, 5, 2, 7
"/home/dev/projects/dbnexus/tests/audit/mod.rs", "Rust", 2, 0, 0, 0, 7, 3, 12
"/home/dev/projects/dbnexus/tests/audit/unit/audit_unit_tests.rs", "Rust", 457, 0, 0, 0, 156, 112, 725
"/home/dev/projects/dbnexus/tests/audit/unit/mod.rs", "Rust", 0, 0, 0, 0, 5, 2, 7
"/home/dev/projects/dbnexus/tests/benchmarks/mod.rs", "Rust", 324, 0, 0, 0, 18, 50, 392
"/home/dev/projects/dbnexus/tests/cache/integration/cache_integration.rs", "Rust", 211, 0, 0, 0, 41, 74, 326
"/home/dev/projects/dbnexus/tests/cache/integration/mod.rs", "Rust", 2, 0, 0, 0, 5, 3, 10
"/home/dev/projects/dbnexus/tests/cache/mod.rs", "Rust", 2, 0, 0, 0, 7, 3, 12
"/home/dev/projects/dbnexus/tests/cache/unit/cache_unit_tests.rs", "Rust", 362, 0, 0, 0, 180, 129, 671
"/home/dev/projects/dbnexus/tests/cache/unit/mod.rs", "Rust", 0, 0, 0, 0, 5, 2, 7
"/home/dev/projects/dbnexus/tests/common/docker_test_utils.rs", "Rust", 25, 0, 0, 0, 8, 6, 39
"/home/dev/projects/dbnexus/tests/common/mod.rs", "Rust", 364, 0, 0, 0, 79, 58, 501
"/home/dev/projects/dbnexus/tests/concurrency/pool_concurrency_test.rs", "Rust", 23, 0, 0, 0, 12, 7, 42
"/home/dev/projects/dbnexus/tests/confers_oxcache_integration.rs", "Rust", 23, 0, 0, 0, 34, 8, 65
"/home/dev/projects/dbnexus/tests/core/integration/config_integration.rs", "Rust", 277, 0, 0, 0, 23, 37, 337
"/home/dev/projects/dbnexus/tests/core/integration/dbnexus_integration.rs", "Rust", 652, 0, 0, 0, 151, 177, 980
"/home/dev/projects/dbnexus/tests/core/integration/entity_integration.rs", "Rust", 279, 0, 0, 0, 62, 71, 412
"/home/dev/projects/dbnexus/tests/core/integration/health_integration.rs", "Rust", 301, 0, 0, 0, 34, 79, 414
"/home/dev/projects/dbnexus/tests/core/integration/mod.rs", "Rust", 10, 0, 0, 0, 5, 5, 20
"/home/dev/projects/dbnexus/tests/core/integration/permission_integration.rs", "Rust", 179, 0, 0, 0, 18, 25, 222
"/home/dev/projects/dbnexus/tests/core/integration/session_transaction.rs", "Rust", 864, 0, 0, 0, 7, 94, 965
"/home/dev/projects/dbnexus/tests/core/integration/sql_parser_integration.rs", "Rust", 267, 0, 0, 0, 27, 47, 341
"/home/dev/projects/dbnexus/tests/core/mod.rs", "Rust", 2, 0, 0, 0, 7, 3, 12
"/home/dev/projects/dbnexus/tests/core/unit/edge_cases.rs", "Rust", 500, 0, 0, 0, 29, 77, 606
"/home/dev/projects/dbnexus/tests/core/unit/error_unit_tests.rs", "Rust", 328, 0, 0, 0, 47, 75, 450
"/home/dev/projects/dbnexus/tests/core/unit/mod.rs", "Rust", 1, 0, 0, 0, 7, 3, 11
